procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3714880 383688 2754924    0    0     0    56  317  657  1  1 99  1  0
 0  0 106980 3714944 383688 2754924    0    0     0     0  316  644  1  1 99  0  0
 0  0 106980 3716776 383688 2755000    0    0     0    30  313  664  2  1 98  0  0
 0  0 106980 3716724 383688 2754984    0    0     0    50  301  642  1  1 99  0  0
 0  0 106980 3714696 383688 2755008    0    0     0   338  298  628  1  1 98  0  0
 0  0 106980 3716892 383688 2755008    0    0     0    20  326  679  1  1 98  0  0
 1  0 106980 3716744 383688 2755020    0    0     0    72  293  626  0  1 99  0  0
 0  0 106980 3716620 383688 2755044    0    0     0   104  264  532  1  1 99  1  0
 0  0 106980 3717084 383688 2754992    0    0     0     8  256  547  2  1 98  0  0
 0  0 106980 3716496 383688 2754912    0    0     0    86  251  531  0  1 99  0  0
 0  0 106980 3715132 383688 2754928    0    0     0     4  259  528  2  1 98  0  0
 0  0 106980 3715132 383688 2754928    0    0     0     0  244  511  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3716696 383688 2754948    0    0     0    52  264  553  4  0 96  0  0
 0  0 106980 3714660 383688 2755000    0    0     0     4  257  538  0  1 99  0  0
 1  0 106980 3714696 383688 2755008    0    0     0    24  261  539  1  1 94  6  0
 0  0 106980 3716744 383688 2755028    0    0     0    62  257  526  1  1 99  0  0
 0  0 106980 3716744 383688 2755028    0    0     0     0  246  504  0  0 100  0  0
 0  0 106980 3716744 383688 2755028    0    0     0    26  252  523  1  0 99  0  0
 0  0 106980 3714648 383688 2755032    0    0     0    34  252  546  0  1 99  0  0
 0  0 106980 3714704 383688 2755040    0    0     0   444  253  518  1  0 99  0  0
 0  0 106980 3716752 383688 2755060    0    0     0    10  268  527  1  1 98  1  0
 0  0 106980 3716752 383688 2755064    0    0     0    76  253  511  1  1 99  0  0
 0  0 106980 3716752 383688 2755064    0    0     0     8  252  529  1  0 99  0  0
 0  0 106980 3714764 383688 2754996    0    0     0    10  287  587  2  1 97  0  0
 0  0 106980 3714828 383688 2755004    0    0     0    86  247  519  0  0 100  0  0
 0  0 106980 3716876 383688 2755024    0    0     0     4  255  528  1  1 98  0  0
 0  0 106980 3714704 383688 2755092    0    0     0    14  267  545  1  0 98  0  0
 0  0 106980 3714704 383688 2755092    0    0     0    44  278  553  2  0 98  0  0
 0  0 106980 3716700 383688 2755096    0    0     0     8  277  560  0  2 98  0  0
 0  0 106980 3716752 383688 2755104    0    0     0    48  275  544  0  0 100  0  0
 0  0 106980 3714580 383688 2755124    0    0     0     2  271  543  1  1 99  0  0
 0  0 106980 3714580 383688 2755124    0    0     0     0  273  531  1  0 99  0  0
 0  0 106980 3716752 383688 2755124    0    0     0    42  281  564  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 106980 3716732 383688 2755128    0    0     0     2  260  524  1  0 99  0  0
 0  0 106980 3714580 383688 2755148    0    0     0    32  257  508  1  1 99  0  0
 0  0 106980 3716836 383688 2755076    0    0     0    54  276  589  2  1 97  1  0
 0  0 106980 3716752 383688 2755048    0    0     0    12  244  513  1  0 99  0  0
 0  0 106980 3716752 383688 2755048    0    0     0    38  254  521  1  0 99  0  0
 0  0 106980 3714828 383688 2755080    0    0     0    88  266  564  1  2 97  1  0
 0  0 106980 3716584 383688 2755124    0    0     0    78  273  554  1  1 98  0  0
 0  0 106980 3716628 383688 2755180    0    0     0    80  258  533  1  0 99  0  0
 0  0 106980 3716628 383688 2755180    0    0     0     0  247  511  1  0 99  0  0
 0  0 106980 3716628 383688 2755180    0    0     0    16  252  515  3  0 97  0  0
 0  0 106980 3714508 383688 2755184    0    0     0    32  267  539  1  1 98  1  0
 0  0 106980 3714580 383688 2755204    0    0     0    12  272  553  1  0 99  0  0
 0  0 106980 3716628 383688 2755224    0    0     0     2  259  514  1  1 99  0  0
 0  0 106980 3716628 383688 2755224    0    0     0    42  260  507  1  0 99  0  0
 0  0 106980 3716628 383688 2755224    0    0     0    56  256  519  1  0 99  0  0
 0  0 106980 3714552 383688 2755228    0    0     0    10  262  547  1  1 98  0  0
 0  0 106980 3714580 383688 2755236    0    0     0    54  260  514  0  1 99  0  0
 1  0 106980 3716628 383688 2755256    0    0     0    10  273  525  1  0 98  0  0
 0  0 106980 3716504 383688 2755256    0    0     0    10  280  566  1  1 99  0  0
 0  0 106980 3716624 383688 2755168    0    0     0   392  257  544  1  1 98  0  0
 0  0 106980 3714456 383688 2755084    0    0     0    14  262  569  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 106980 3714456 383688 2755104    0    0     0    48  258  517  0  0 100  0  0
 0  0 106980 3716372 383688 2755128    0    0     0    86  253  532  1  1 97  2  0
 0  0 106980 3714148 383688 2755144    0    0     0     0  240  514  2  0 98  0  0
 0  0 106980 3714148 383688 2755144    0    0     0     0  251  514  3  0 97  0  0
 0  0 106980 3716596 383688 2755152    0    0     0    50  251  525  1  1 98  1  0
 0  0 106980 3716628 383688 2755160    0    0     0    10  246  505  1  0 99  0  0
 0  0 106980 3714580 383688 2755176    0    0     0     2  244  506  0  1 99  0  0
 0  0 106980 3714580 383688 2755176    0    0     0    52  248  503  0  1 98  0  0
 0  0 106980 3716592 383688 2755176    0    0     0    10  250  539  0  1 99  0  0
 0  0 106980 3716672 383688 2755184    0    0     0    52  258  517  1  1 99  0  0
 0  0 106980 3714580 383688 2755204    0    0     0     2  245  491  0  1 99  0  0
 0  0 106980 3716616 383688 2755204    0    0     0    10  278  573  1  1 98  0  0
 0  0 106980 3716628 383688 2755232    0    0     0    40  243  505  0  1 99  0  0
 0  0 106980 3714456 383688 2755292    0    0     0    22  264  536  1  1 98  0  0
 0  0 106980 3716380 383688 2755068    0    0     0    18  278  580  3  1 96  0  0
